,Program,Program_Code,Degrees,Mode_of_study,Link,School,College,Tution fees,ID
0,Accounting,PRPHDACCOU1F,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDACCOU1F,Business School,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1028
1,Accounting and Finance,PTMSCACFIN1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCACFIN1F,Business School,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£28,200', 'Rest of UK': '£28,200', 'International/EU': '£37,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",416
2,Acoustics and Music Technology,PTMSCACMUT1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCACMUT1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£14,100', 'Rest of UK': '£14,100', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",478
3,Advanced Care ,PRPHDADVCA1F,PhD with Integrated Study,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDADVCA1F,Engineering,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1048
4,Advanced Chemical Engineering,PTMSCADVCE1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCADVCE1F,Engineering,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",913
5,Advanced Clinical Practice (Online Learning),PTMVSADVCP1U,"MVetSci, PgDip (ICL), PgCert (ICL), PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMVSADVCP1U,Royal (Dick) School of Veterinary Studies,Medicine & Veterinary Medicine,Not applicable,910
6,Advanced Nursing,PTMSCADVNU1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCADVNU1F,Health in Social Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",419
7,Advanced Nursing (Online Learning),PTMSCADVNU4P,MSc,Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCADVNU4P,Health in Social Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£7,600', 'Additional Programme Costs': ''}",1049
8,Advanced Power Engineering,PTMSCADPOE1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCADPOE1F,Engineering,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£11,400', 'Rest of UK': '£11,400', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",960
9,Advanced Social Work Studies (Mental Health Officer Award),No Program Code,PgCert,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=634,Social & Political Science,"Arts, Humanities & Social Sciences",Not applicable,634
10,Advanced Sustainable Design,PTMSCASDEC1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCASDEC1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",417
11,Advanced Technology for Financial Computing,PTMSCADTFC1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCADTFC1F,Informatics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£38,500', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",992
12,Africa and International Development,PTMSCAFRID1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCAFRID1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",622
13,African Studies,PRPHDAFRST1F,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDAFRST1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",319
14,Agriculture and Food Security ,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDAGFOS1F,Royal (Dick) School of Veterinary Studies,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': 'Yes, costs vary'}",957
